filiere;hentad;niveaux;liveoù;Dep;uai;nom;anv;adresse;choml;cp-kp;commune;kumun;code_insee-kod_ebssa;telephone-pgz;telecopie-plr;courriel-posteler;autre_courriel-posteler_all;internet-kenrouedad;latitude-ledred;longitude-hedred
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291405V;Ecole de l'Argoad - Sacré Cœur;Skol an Argoad-ar Galon Sakr;31 rue de l'Argoad;31 straed an Argoad;29260;LESNEVEN;LESNEVEN;29124;02 98 83 03 27;02 98 83 18 55;ec.0291405V@ac-rennes.fr;_;http://argoat-sacre-coeur.eklablog.com/;48.56692057851458;-4.321800509641789
Catholique;Katolik;Collège;Skolaj;29;0291875F;Collège Saint-François - Notre-Dame;Skolaj Sant Frañsez - an Itron-Varia;1 rue des Récollets - BP 90;1 straed ar Rekolezed - BP 90;29260;LESNEVEN;LESNEVEN;29124;02 98 83 09 44;02 98 83 30 74;ce.0291875F@ac-rennes.fr;grp29.st-francois.lesneven@ecbretagne.org;http://www.sfnd.fr/;48.570059634303774;-4.324279555968532
Catholique;Katolik;Lycée;Lise;29;0290160S;Lycée Saint-François - Notre-Dame;Lise Sant Frañsez - an Itron-Varia;1 rue des Récollets - BP 90;1 straed ar Rekolezed - BP 90;29260;LESNEVEN;LESNEVEN;29124;02 98 83 09 44;02 98 83 30 74;ce.0291875F@ac-rennes.fr;grp29.st-francois.lesneven@ecbretagne.org;http://www.sfnd.fr/;48.57030898196225;-4.325230655873059
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291994K;Skol Diwan Lesneven;Skol Diwan Lesneven;17 chemin des Dames;17 hentig an Intronezed;29260;LESNEVEN;LESNEVEN;29124;02 98 83 37 24;02 98 83 29 98 ;ec.0291994K@ac-rennes.fr;diwanlesneven@free.fr;_;48.56952223459936;-4.318480108905137
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291270Y;Ecole Maternelle Saint Joseph - Sainte Anne;Skol-vamm Sant Jozeb - Santez Anna ;15 route de Pen ar Menez;15 hent Pen ar Menez;29280;LOCMARIA-PLOUZANE;LOKMARIA-PLOUZANE;29130;02 98 48 42 30;02 98 48 46 76;ec.0291270Y@ac-rennes.fr;instit.ecole-saint.joseph@wanadoo.fr;http://lewebpedagogique.com/ecolesaintjosephlocm;48.371535976692385;-4.644129822906758
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291188J;Ecole publique Eric Tabarly;Skol bublik Eric Tabarly;2 rue du Menez;2 straed ar Menez;29470;LOPERHET;LOPERC'HED;29140;02 98 07 02 30;_;ec.0291188J@ac-rennes.fr;pee.ecoleloperhet@yahoo.fr;http://www.ecole-loperhet.fr/;48.376184881652634;-4.30420938869009
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290582A;Raymond Rannou;Raymond Rannoù;Le Bourg;Ar Vourc'h;29530;LOQUEFFRET;LOKEORED;29141;298264362;_;ec.0290582A@ac-rennes.fr;_;_;48.320407973404265;-3.856410074992302
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291802B;Ecole publique Marcel Aymé;Skol bublik Marcel Aymé;240 rue du Ponant;240 straed ar C'huzh-heol;29290;MILIZAC-GUIPRONVEL;MILIZAG-GWIPROÑVEL;29076;02 98 07 98 94;_;ec.0291802B@ac-rennes.fr;_;http://www.ape-marcel-ayme.fr/static.php?op=ecole_bilingue.htm&npds=0;48.463614174475666;-4.571999696609982
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290387N;Ecole de Kermoulin;Skol Kervilin;Hameau de Saint-Thamec;Kêriadenn Sant-Teg;29350;MOELAN-SUR-MER;MOLAN;29150;09 64 45 90 64;_;ec.0290387N@ac-rennes.fr;kermoulin.ecole@wanadoo.fr;_;47.78262238856186;-3.6278603775958835
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292048U;Skol Diwan Montroulez;Skol Diwan Montroulez;35 rue de la Cordelière;35 straed La Cordelière;29600;MORLAIX;MONTROULEZ;29151;02 98 88 82 81;_;ec.0292048U@ac-rennes.fr;skol.diwan@cegetel.net;http://www.diwanmontroulez.fr/;48.5664551178132;-3.824789811504286
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291168M;Ecole du Poan Benn;Skol ar Boan Benn;2 allée du Poan Benn;2 alez ar Boan Benn;29600;MORLAIX;MONTROULEZ;29151;02 98 88 27 35 / 02 98 88 07 99;_;ec.0291168M@ac-rennes.fr;_;_;48.576747792374114;-3.823589312337455
Public;Publik;Lycée;Lise;29;0290051y;Lycée Tristan Corbière;Lise Tristan Corbière;16 rue de Kerveguen - BP 17149;16 straed Kervegen - BP 17149;29600;MORLAIX;MONTROULEZ;29151;298886277;_;ce.0290051y@ac-rennes.fr;_;_;48.56999287866363;-3.8211905860238535
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291298D;Ecole Sainte-Anne;Skol-vamm Santez Anna;35 rue des 3 Frères Le Roy;35 straed ar Baotred Le Roy;29860;PLABENNEC;PLABENNEG;29160;02 98 40 42 60;02 98 40 47 77;ec.0291298D@ac-rennes.fr;ste.anne.plabennec.29@orange.fr;http://eco-ste-anne.plabennec.ddec29.org/;48.49869775864864;-4.428239426299653
Catholique;Katolik;Collège;Skolaj;29;0290286D;Collège Saint-Joseph;Skolaj Sant Jozef;2 rue des écoles - BP 20;2 straed ar Skolioù - BP 20;29860;PLABENNEC;PLABENNEG;29160;02 98 40 41 17;02 98 40 80 67;ce.0290286D@ac-rennes.fr;college@saint-joseph-plabennec.org;http://www.saint-joseph-plabennec.org/;48.50502803773917;-4.428560333016306
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292189X;Skol Diwan Plabenneg;Skol Diwan Plabenneg;23 rue de l’Aber ;23 straed an Aber ;29860;PLABENNEC;PLABENNEG;29160;02 98 37 64 05;02 98 37 64 05;ec.0292189X@ac-rennes.fr;diwan.plab@free.fr;http://diwanplabenneg.free.fr/;48.50230504904781;-4.434459600766409
Public;Publik;Ecole maternelle;Skol-vamm;29;0291690E;École maternelle René Tressard;Skol-vamm René Tressard;Bellevue;Bellevue;29170;PLEUVEN;PLUWENN;29161;02 98 54 74 95;_;ec.0291690E@ac-rennes.fr;_;_;47.90931472643475;-4.049634031838376
Public;Publik;Ecole élémentaire;Skol-gentañ;29;0291689D;Skol-gentañ René Tressard;Skol-gentañ René Tressard;Bellevue;Bellevue;29170;PLEUVEN;PLUWENN;29161;02 98 54 60 70;_;ec.0291689D@ac-rennes.fr;_;_;47.90931472643475;-4.049634031838376
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291691F;Ecole du Bourg;Skol ar Vourc'h;Rue des écoles;Straed ar skolioù;29190;PLEYBEN;PLEIBEN;29162;02 98 26 62 68;_;ec.0291691F@ac-rennes.fr;_;_;48.22849812574211;-3.9702415850900588
Public;Publik;Ecole maternelle;Skol-vamm;29;0290971Y;Ecole publique;Skol bublik;Hameau des Camélias;Hameau des Camélias;29410;PLEYBER-CHRIST;PLEIBER-KRIST;29163;02 98 78 40 22;_;ec.0290971Y@ac-rennes.fr;_;_;48.503808251598116;-3.878870499326255
Public;Publik;Ecole élémentaire;Skol-gentañ;29;0290970X;Ecole publique;Skol bublik;2 rue Jules Ferry ;2 Straed Jules Ferry ;29410;PLEYBER-CHRIST;PLEIBER-KRIST;29163;02 98 78 43 13;_;ec.0290970X@ac-rennes.fr;_;_;48.50550209482173;-3.8781894419508562
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292305Y;Skol Diwan Plogastell-Sant-Jermen;Skol Diwan Plogastell-Sant-Jermen;1 rue Park Zalé;1 straed Park Zale;29710;PLOGASTEL-SAINT-GERMAIN;PLOGASTELL-SANT-JERMEN;29167;06 32 29 57 32 / 02 98 82  24 42 ;_;diwan.plogastellsantjermen@laposte.net;_;http://diwanpsj.wordpress.com/;47.98199556324701;-4.269040586776966
Catholique;Katolik;Ecole maternelle;Skol-vamm;29;0291505D;Ecole Saint Egonnec;Skol Sant Tegoneg;4 rue des Ecoles;4 straed ar Skolioù;29180;PLOGONNEC;PLOGONEG;29169;298917144;_;  ec.0291505D@ac-rennes.fr;_;_;48.07466641858807;-4.194329687960105
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291729X;École publique Lucie Aubrac;Skol bublik Lucie Aubrac;Allée du 19 Mars 1962;Alez an 19 a viz Meurzh 1962;29700;PLOMELIN;PLOVEILH;29170;02 98 94 20 24;_;ec.0291729X@ac-rennes.fr;_;_;47.93448912664926;-4.152219780510143
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290720A;Ecole publique;Skol bublik;Route de Pont-l'Abbé ;Hent Pont-'n-Abad;29120;PLOMEUR;PLOVEUR;29171;298820190;_;ec.0290720a@ac-rennes.fr;_;_;47.84231024162187;-4.280269466981628
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291454Y;Ecole Notre-Dame de Bon Secours;Skol Itron-Varia Wir-Sikour;12 rue Pierre-Marie Riou;12 straed Pierre-Marie Riou;29720;PLONEOUR-LANVERN;PLONEOUR-LANWERN;29174;02 98 87 61 37;_;ec.0291454Y@ac-rennes.fr;ecolendbs.ploneour@wanadoo.fr ;http://ecolendbsploneourlanvern.fr/;47.90001106631205;-4.2821293716550715
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291277F;Ecole Arzmael;Skol Arzhmael;Stréat Balan;Stread ar Balan;29810;PLOUARZEL;PLOUARZHEL;29177;02 98 89 60 17;_;ec.0291277F@ac-rennes.fr;_;http://arzmael.fr/;48.434009814714884;-4.735002590654425
Public;Publik;Ecole maternelle;Skol-vamm;29;0290860C;Ecole Trézien;Skol Trezian;8 rue Hervé de Porsmoguer;8 straed Herve Porzhmoger;29810;PLOUARZEL;PLOUARZHEL;29177;298896598;_;ec.0290860C@ac-rennes.fr;_;_;48.4243420150021;-4.76935046937701
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291257J;Ecole primaire Sainte-Anne;Skol kentañ derez Santez Anna;24 rue de Brest;24  straed Brest;29860;PLOUDALMEZEAU;GWITALMEZE;29178;02 98 48 10 04;_;ec.0291257J@ac-rennes.fr;_;http://www.ecole-sainte-anne-ploudalmezeau.fr/;48.538346673447656;-4.657799989485727
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291997N;Skol Diwan Gwitalmeze;Skol Diwan Gwitalmeze;Straed Cullompton - Hanter Hent;Straed Cullompton - Hanter hent;29830;PLOUDALMEZEAU;GWITALMEZE;29178;02 98 48 18 30;02 98 48 18 30;ec.0291997N@ac-rennes.fr;skol.gwitalmeze@wanadoo.fr;http://www.gwitalmeze.diwan.bzh/;48.53897941833947;-4.654860329612739
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292251P;Ecole du Bourg;Skol ar Bourk;2 place de la Mairie;2 plasenn an Ti-kêr;29800;PLOUDIRY;PLOUZIRI;29180;02 98 25 13 87;_;ec.0292251P@ac-rennes.fr;_;_;48.45328033994801;-4.14314939128826
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292120X;Saint Edern;Sant Edern;155 rue des Ecoles;155 straed ar Skolioù;29800;PLOUÉDERN;PLOUEDERN;29181;962281496;_;ec.0292120X@ac-rennes.fr;_;_;48.4819512851361;-4.245930083092803
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291422N;Ecole Notre-Dame des Victoires;Skol Itron-Varia an Trec’hioù;3 rue du Maréchal Foch;3 straed ar Marichal Foch;29430;PLOUESCAT;PLOUESKAD;29185;02 98 69 62 71;02 98 61 94 09;ec.0291422N@ac-rennes.fr;ndvplouescat@wanadoo.fr;http://eco-ndv-plouescat.ddec29.org/;48.65756080215931;-4.171379534963584
Public;Publik;Ecole maternelle;Skol-vamm;29;0291735D;Ecole Marie-Thérèse Prigent;Skol Marie-Thérèse Prijant;22 rue de Primel;22 straed Primel;29630;PLOUGASNOU;PLOUGANOU;29188;02 98 67 80 81 ;_;ec.0291735D@ac-rennes.fr;_;_;48.69471140708277;-3.796123519623407
Catholique;Katolik;Ecole maternelle;Skol-vamm;29;0291637X;Ecole maternelle Saint-Jean;Skol-vamm Sant Yann;45 rue Amiral Salaün;45 straed an Amiral Salaün;29470;PLOUGASTEL-DAOULAS;PLOUGASTELL-DAOULAZ;29189;02 98 40 66 66;_;ec.0291637X@ac-rennes.fr;_;http://eco-stjean-plougastel.ddec29.org/;48.3721711972042;-4.375959794075581
Catholique;Katolik;Ecole élémentaire;Skol-gentañ;29;0291317Z;Ecole primaire Saint-Pierre;Skol kentañ derez Sant Pêr;44 rue Jean Corre;44 straed Jean ar C'horr;29470;PLOUGASTEL-DAOULAS;PLOUGASTELL-DAOULAZ;29189;02 98 40 36 52;02 98 04 23 99;ec.0291317Z@ac-rennes.fr;_;http://www.eco-stpi-plougastel-daoulas2.ddec29.org/;48.37184691289141;-4.3754802006952564
Catholique;Katolik;Collège;Skolaj;29;0290297R;Collège Sainte-Anne;Skolaj Santez Anna;21 bis rue Jean Corre - BP 11;21bis straed Jean ar C'horr - BP 11;29470;PLOUGASTEL-DAOULAS;PLOUGASTELL-DAOULAZ;29189;02 98 40 36 12;02 98 40 37 65;ce.0290297R@ac-rennes.fr;secretariat@sainteanne-plougastel.fr;http://www.sainteanne-plougastel.fr;48.372156164941934;-4.372580634810945
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292358F;Skol Diwan Plougastell;Skol Diwan Plougastell;85 rue Jacques de Thézac;85 straed Jacques de Thézac;29470;PLOUGASTEL-DAOULAS;PLOUGASTELL-DAOULAZ;29189;02 90 82 87 85;_;skol.plougastell-daoulaz@diwan.bzh;_;http://diwan-plougastell.bzh/;48.36553181005267;-4.3940536342515415
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290916N;Ecole de Gwaremm Gozh;Skol ar Waremm Gozh;Rue de Gwaremm gozh;Straed ar Waremm gozh;29470;PLOUGASTEL-DAOULAS;PLOUGASTELL-DAOULAZ;29189;02 98 40 33 03 / 02 98 40 22 45 / 02 98 40 22 64;_;ec.0290916N@ac-rennes.fr;_;_;48.37890535855866;-4.375909840324116
Public;Publik;Ecole maternelle;Skol-vamm;29;0291969H;Ecole Mona Ozouf;Skol Mona Ozouf;Rue de la Fontaine Blanche;Straed ar Feunteun Wenn;29470;PLOUGASTEL-DAOULAS;PLOUGASTELL-DAOULAZ;29189;02 98 37 57 59 ;_;ec.0291969H@ac-rennes.fr;_;_;48.372096867864585;-4.366489591157779
Public;Publik;Collège;Skolaj;29;0291928N;Collège de la Fontaine Blanche;Skolaj ar Feunteun Wenn;5 rue de la Fontaine Blanche - BP 54;5 straed ar Feunteun Wenn - BP 54;29470;PLOUGASTEL-DAOULAS;PLOUGASTELL-DAOULAZ;29189;02 98 40 60 89;02 98 40 08 08;ce.0291928n@ac-rennes.fr;_;http://www.college-fontaine-blanche-plougastel.ac-rennes.fr/;48.37209708597197;-4.3624697680919455
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290852U;Ecole Roz Avel;Skol Roz Avel;1 rue de Mezou Vilin;1 straed Mezou Vilin;29217;PLOUGONVELIN;PLOUGONVELEN;29190;02 98 48 20 94;_;ec.0290852U@ac-rennes.fr;_;_;48.34187237589531;-4.719900198455342
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292368S;Skol Diwan Plougerne;Skol Diwan Plougerne;Grouaneg;Grouaneg;29880;PLOUGUERNEAU;PLOUGERNE;29195;06 69 12 13 00;_;_;_;_;48.59148790467599;-4.463270204583803
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290886F;Ecole publique Le Petit Prince;Skol bublik ar Priñs Bihan;Douar-nevez;Douar-nevez;29880;PLOUGUERNEAU;PLOUGERNE;29195;02 98 04 73 52;_;ec.0290886F@ac-rennes.fr;_;_;48.608133912529574;-4.511680488913192
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291564T;Ecole Publique;Skol bublik;Rue Jules Ferry;Straed Jules Ferry;29410;PLOUNEOUR-MENEZ;PLOUNEOUR-MENEZ;29202;02 98 78 94 65;_;ec.0291564T@ac-rennes.fr;_;_;48.440464038107194;-3.8897999618981087
Public;Publik;Collège;Skolaj;29;0290058F;Collège des Monts d'Arrée;Skolaj Menez Are;Rue de la Libération;Straed an Dieubidigezh;29410;PLOUNEOUR-MENEZ;PLOUNEOUR-MENEZ;29202;02 98 78 01 12;02 98 78 05 11;ce.0290058f@ac-rennes.fr;_;_;48.4399500753993;-3.8892899317299974
Public;Publik;Ecole maternelle;Skol-vamm;29;0291740J;Ecole Martin Luther King;Skol Martin Luther King;Rue de Coat An Scour;Straed Koad ar Skourr;29600;PLOURIN-LÈS-MORLAIX;PLOURIN-MONTROULEZ;29207;02 98 72 53 34;_;ec.0291740J@ac-rennes.fr;_;_;48.53314885467154;-3.7904194055523397
Public;Publik;Ecole élémentaire;Skol-gentañ;29;0290962N;Ecole Martin Luther King;Skol Martin Luther King;Rue de Coat An Scour;Straed Koad ar Skourr;29600;PLOURIN-LÈS-MORLAIX;PLOURIN-MONTROULEZ;29207;02 98 72 50 87;_;ec.0290962N@ac-rennes.fr;_;_;48.5327374626374;-3.789940485155251
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292117U;Ecole de Notre-Dame de Lambader;Skol Itron-Varia Lambader;Rue du Couvent;Straed ar Gouent;29420;PLOUVORN;PLOUVORN;29210;02 98 61 32 96;02 98 61 03 53;ec.0292117U@ac-rennes.fr;ecole.lambader@wanadoo.fr;http://www.plouvorn.com/ecole-notre-dame-de-lambader.php;48.57751700802245;-4.033450138334713
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290855X;Ecole Anita Conti;Skol Anita Conti;Rue de Kerallann;Straed Kerallann;29280;PLOUZANE;PLOUZANE;29212;02 98 05 12 64 / 02 98 05 31 05;_;ec.0290855X@ac-rennes.fr;_;_;48.37100607409038;-4.5871605083381395
Public;Publik;Collège;Skolaj;29;0291929P;Collège Kerallann;Skolaj Kerallann;Rue des Myosotis, BP 29;Straed Daoulagad-ar-Werc'hez, BP 29;29280;PLOUZANE;PLOUZANE;29212;02 98 49 09 65;02 98 45 94 55;ce.0291929p@ac-rennes.fr;_;http://pharouest.ac-rennes.fr/e291929P;48.37396459987361;-4.589760486392371
Public;Publik;Ecole maternelle;Skol-vamm;29;0291176W;Ecole du Bourg;Skol ar Bourk;22 route du Minou;22 hent ar Minou;29280;PLOUZANÉ;PLOUZANE;29212;02 98 48 46 02 ;_;ec.0291176W@ac-rennes.fr;_;_;48.37919635815506;-4.617820577823679
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291730Y;Ecole primaire Georges Le Bail;Skol kentañ derez Jorj ar Bailh;30 avenue Georges Le Bail;30 bali Jorj ar Bailh;29710;PLOZEVET;PLOZEVED;29215;02 98 91 39 45;_;ec.0291730Y@ac-rennes.fr;_;http://parentsploz.blogspot.fr/;47.984596203616626;-4.419879950771711
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290420Z;Ecole Saint-Exupéry ;Skol Saint-Exupéry ;11 rue Ménez Izella;11 straed Menez Izelañ ;29700;PLUGUFFAN;PLUGUEN;29216;02 98 94 09 07 /  02 98 94 03 95;_;ec.0290420Z@ac-rennes.fr;_;http://ohmonecole.canalblog.com/;47.98462576474578;-4.178119894380224
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292337H;Skol Diwan ar C'hab;Skol Diwan ar C'hab;place de la Métairie;plasenn ar Mereri;29790;PONT-CROIX;PONTEKROAZ;29218;06 63 51 81 35;_;_;_;_;48.0418228106968;-4.4856144028627565
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291457B;Ecole Notre-Dame des Carmes;Skol Itron-Varia Garmez;23 rue Jean Lautrédou;23 straed Jean an Aotredou;29120;PONT-L'ABBE;PONT-'N-ABAD;29220;02 98 66 08 39;02 98 66 00 89;ec.0291457B@ac-rennes.fr;ndcarmes.gab29@wanadoo.fr;http://www.saint-gabriel.fr/unite_pedagogique/maternelle-primaire-nd-des-carmes;47.86286147718776;-4.216879658295859
Catholique;Katolik;Collège;Skolaj;29;0291877H;Collège Saint-Gabriel;Skolaj Sant Gabriel;Rue Jean Lautredou, BP 85137 ;straed Jean an Aotredou, BP 85137 ;29120;PONT-L'ABBE;PONT-'N-ABAD;29220;02 98 66 08 44;02 98 66 00 89;ce.0291877H@ac-rennes.fr;_;http://www.saint-gabriel.fr;47.86312871320511;-4.217250462076981
Public;Publik;Ecole maternelle;Skol-vamm;29;0290555W;Ecole Lambour;Skol Lambourc'h;41 rue de Lambourg;41 straed Lambourc'h;29120;PONT-L'ABBE;PONT-'N-ABAD;29220;02 98 87 13 74;_;  ec.0290555W@ac-rennes.fr;_;_;47.86899761619126;-4.2196402072089505
Public;Publik;Collège;Skolaj;29;0290064M;Collège Laënnec;Skolaj Laeneg;Rue du Sequer, BP 95138;Straed ar Seker, BP 95138;29120;PONT-L'ABBE CEDEX;PONT-'N-ABAD CEDEX;29220;02 98 87 00 36;02 98 87 38 41;ce.0290064m@ac-rennes.fr;_;http://www.college-laennec-pont-labbe.ac-rennes.fr;47.85830228180536;-4.235459453684794
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291970J;Ecole Jules Ferry;Skol Jules Ferry;14 avenue du Général de Gaulle;14 bali ar Jeneral de Gaulle;29246;POULLAOUEN;POULLAOUEN;29227;02 98 93 55 06;_;ec.0291970J@ac-rennes.fr;_;_;48.337604687439025;-3.6384896335491805
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290456N;Ecole publique;Skol bublik;29 rue de Quimperlé;29 straed Kemperle;29310;QUERRIEN;KERIEN;29230;02 98 71 41 64;_;ec.0290456N@ac-rennes.fr;ecole.pub.querrien@libertysurf.fr;_;47.95789576041237;-3.533990351169142
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291489L;Ecole Saint-Raphaël - Saint-Charles;Skol Sant Rafael - Sant Charlez;4 place Charles de Gaulle;4 plasenn Charles de Gaulle;29000;QUIMPER;KEMPER;29232;02 98 95 22 58 / 02 98 95 36 24;02 98 95 56 36;ec.0291489L@ac-rennes.fr;stcharles@wanadoo.fr;http://www.ecolestcharles.com/;48.00516843664612;-4.096350074676496
Catholique;Katolik;Collège;Skolaj;29;0291880L;Collège Saint-Yves - Le Likès;Skolaj Sant Youenn - Al Likez;19 rue Créach Allan;19 straed Krec'h Alan;29000;QUIMPER;KEMPER;29232;02 98 95 04 86;02 98 95 06 24;ce.0291880L@ac-rennes.fr;_;http://www.likes.org;47.99899844547772;-4.098449780242635
Catholique;Katolik;Lycée;Lise;29;0292144Y;Lycée Le Likès La Salle;Lise Al Likez Ar Sal;20 place de la Tourbie;20 plasenn an Tourbi;29000;QUIMPER;KEMPER;29232;02 98 95 04 86;_;ce.0292144Y@ac-rennes.fr;_;http://www.likes.org;48.000364624139216;-4.102779866687173
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291993J;Skol Diwan Kemper I;Skol Diwan Kemper I;25 allée Kermoguer;25 straed Kervoger;29000;QUIMPER;KEMPER;29232;02 98 95 18 07;02 98 95 12 36;ec.0291993J@ac-rennes.fr;skol.kemper.kerfeunteun@diwan.bzh;http://diwankemper.net/;48.01007135057221;-4.08893064573757
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;Adskol Diwan Kemper I;Skol Diwan Kemper (II);Skol Diwan Kemper II;1 rue Vendée;1 straed Vañde;29000;QUIMPER;KEMPER;29232;02 98 65 18 79;_;skol.kemper.penharz@diwan.bzh;_;http://diwankemper.net/;47.988094;-4.124654
Diwan;Diwan;Ecole maternelle;Skol-vamm;29;Adskol Diwan Kemper I;Diwan Kemper 3 - Krec'h Gwenn;Diwan Kemper 3 - Krec'h Gwenn;34 rue Président Sadate;34 straed ar Prezidant Sadate;29000;QUIMPER;KEMPER;29232;06 40 18 02 46, 06 71 25 98 43;_;skol.kemper.krechgwenn@diwan.bzh ;_;http://diwankemper.net/carte-du-reseau/;47.979564;-4.097955
Diwan;Diwan;Collège;Skolaj;29;0292204N;Skolaj Diwan Jakez Riou;Skolaj Diwan Jakez Riou;5 rue Vendée;5 straed Vande;29000;QUIMPER;KEMPER;29232;02 98 95 57 24;02 98 95 71 51;ce.0292204N@ac-rennes.fr;sekretskolaj@wanadoo.fr;http://www.skolajdiwanjakezriou.com/;47.988501804437725;-4.1242203590934166
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0291701S;Ecole Jacques Prévert ;Skol Jacques Prévert ;30 rue Henri Dunant;30 straed Henri Dunant;29000;QUIMPER;KEMPER;29232;02 98 95 31 67;02 98 95 26 89;ec.0291701S@ac-rennes.fr;_;_;48.0058022995496;-4.086249506650694
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0290410N;Ecole Yves Le Manchec;Skol Yves ar Mañcheg;75 rue de la Terre Noire;75 straed an Douar Du;29000;QUIMPER;KEMPER;29232;02 98 55 74 20;_;ec.0290410N@ac-rennes.fr;_;_;47.99812684580982;-4.126139709901604
Public;Publik;Ecole maternelle;Skol-vamm;29;0291903L;Ecole Edmond Michelet;Skol Edmond Michelet;15 place Victor Schoelcher;15 plasenn Victor Schoelcher;29000;QUIMPER;KEMPER;29232;298532042;_;ec.0291903L@ac-rennes.fr;_;_;47.984044901888474;-4.083540560640413
Public;Publik;Collège;Skolaj;29;0291592Y;Collège Brizeux;Skolaj Brizeug;8 rue Bourg-lès-Bourgs;8 straed Bourlibou;29000;QUIMPER;KEMPER;29232;02 98 55 39 27;02 98 53 72 26;ce.0291592y@ac-rennes.fr;_;http://collegebrizeux29.wordpress.com/;47.99245779014742;-4.113170120695437
Public;Publik;Lycée;Lise;29;0290069T;Lycée Brizeux;Lise Brizeug;6 rue Bourg-lès-Bourgs;6 straed Bourlibou;29000;QUIMPER;KEMPER;29232;02 98 55 38 47;02 98 52 94 03;ce.0290069t@ac-rennes.fr;_;http://www.lycee-brizeux.fr;47.993872942845115;-4.112809981290102
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;29;0292059F;Skol Diwan Kemperle;Skol Diwan Kemperle;Kergwaler - rue de Pont-Aven;Kergwaler - Straed Pont-Aven;29300;QUIMPERLE;KEMPERLE;29233;02 98 96 04 59;02 98 96 04 59;ec.0292059F@ac-rennes.fr;diwankemperle@free.fr;diwan-kemperle.bzh;47.86908345617608;-3.5652805736967683
